Datas,Paris
2020/05/13,38.0
2020/05/14,56.0
2020/05/15,47.0
2020/05/16,16.0
2020/05/17,5.0
2020/05/18,34.0
2020/05/19,47.0
2020/05/20,42.0
2020/05/21,9.0
2020/05/22,34.0
2020/05/23,7.0
2020/05/24,6.0
2020/05/25,23.0
2020/05/26,42.0
2020/05/27,41.0
2020/05/28,37.0
2020/05/29,26.0
2020/05/30,11.0
2020/05/31,5.0
2020/06/01,11.0
2020/06/02,44.0
2020/06/03,40.0
2020/06/04,34.0
2020/06/05,26.0
2020/06/06,13.0
2020/06/07,2.0
2020/06/08,36.0
2020/06/09,31.0
2020/06/10,31.0
2020/06/11,15.0
2020/06/12,36.0
2020/06/13,9.0
2020/06/14,4.0
2020/06/15,18.0
2020/06/16,26.0
2020/06/17,36.0
2020/06/18,33.0
2020/06/19,22.0
2020/06/20,5.0
2020/06/21,1.0
2020/06/22,27.0
2020/06/23,20.0
2020/06/24,30.0
2020/06/25,24.0
2020/06/26,21.0
2020/06/27,3.0
2020/06/28,7.0
2020/06/29,19.0
2020/06/30,27.0
2020/07/01,21.0
2020/07/02,31.0
2020/07/03,37.0
2020/07/04,17.0
2020/07/05,2.0
2020/07/06,39.0
2020/07/07,23.0
2020/07/08,36.0
2020/07/09,48.0
2020/07/10,51.0
2020/07/11,12.0
2020/07/12,5.0
2020/07/13,72.0
2020/07/14,6.0
2020/07/15,53.0
2020/07/16,60.0
2020/07/17,55.0
2020/07/18,23.0
2020/07/19,8.0
2020/07/20,68.0
2020/07/21,53.0
2020/07/22,67.0
2020/07/23,65.0
2020/07/24,79.0
2020/07/25,31.0
2020/07/26,17.0
2020/07/27,98.0
2020/07/28,122.0
2020/07/29,119.0
2020/07/30,126.0
2020/07/31,122.0
2020/08/01,53.0
2020/08/02,35.0
2020/08/03,195.0
2020/08/04,183.0
2020/08/05,197.0
2020/08/06,244.0
2020/08/07,244.0
2020/08/08,150.0
2020/08/09,147.0
2020/08/10,287.0
2020/08/11,249.0
2020/08/12,269.0
2020/08/13,272.0
2020/08/14,304.0
2020/08/15,72.0
2020/08/16,75.0
2020/08/17,379.0
2020/08/18,372.0
2020/08/19,353.0
2020/08/20,409.0
2020/08/21,401.0
2020/08/22,148.0
2020/08/23,111.0
2020/08/24,590.0
2020/08/25,539.0
2020/08/26,666.0
2020/08/27,628.0
2020/08/28,587.0
2020/08/29,226.0
2020/08/30,123.0
2020/08/31,786.0
2020/09/01,705.0
2020/09/02,615.0
2020/09/03,677.0
2020/09/04,667.0
2020/09/05,324.0
2020/09/06,99.0
2020/09/07,847.0
2020/09/08,786.0
2020/09/09,816.0
2020/09/10,856.0
2020/09/11,797.0
2020/09/12,270.0
2020/09/13,135.0
2020/09/14,1027.0
2020/09/15,935.0
2020/09/16,1010.0
2020/09/17,939.0
2020/09/18,932.0
2020/09/19,487.0
2020/09/20,180.0
2020/09/21,1197.0
2020/09/22,1126.0
2020/09/23,1110.0
2020/09/24,980.0
2020/09/25,944.0
2020/09/26,421.0
2020/09/27,154.0
2020/09/28,1091.0
2020/09/29,1027.0
2020/09/30,1162.0
2020/10/01,1224.0
2020/10/02,1252.0
2020/10/03,693.0
2020/10/04,236.0
2020/10/05,1794.0
2020/10/06,1614.0
2020/10/07,1615.0
2020/10/08,1714.0
2020/10/09,1632.0
2020/10/10,738.0
2020/10/11,294.0
2020/10/12,2007.0
2020/10/13,1745.0
2020/10/14,1654.0
2020/10/15,1706.0
2020/10/16,1770.0
2020/10/17,846.0
2020/10/18,291.0
2020/10/19,2213.0
2020/10/20,2208.0
2020/10/21,2274.0
2020/10/22,2333.0
2020/10/23,2271.0
2020/10/24,1122.0
2020/10/25,346.0
2020/10/26,2775.0
2020/10/27,2324.0
2020/10/28,1978.0
2020/10/29,1789.0
2020/10/30,1824.0
2020/10/31,879.0
2020/11/01,267.0
2020/11/02,1953.0
2020/11/03,1483.0
2020/11/04,1172.0
2020/11/05,1039.0
2020/11/06,1044.0
2020/11/07,361.0
2020/11/08,107.0
2020/11/09,1030.0
2020/11/10,817.0
2020/11/11,132.0
2020/11/12,747.0
2020/11/13,533.0
2020/11/14,242.0
2020/11/15,73.0
2020/11/16,660.0
2020/11/17,481.0
2020/11/18,439.0
2020/11/19,376.0
2020/11/20,462.0
2020/11/21,225.0
2020/11/22,70.0
2020/11/23,462.0
2020/11/24,334.0
2020/11/25,367.0
2020/11/26,325.0
2020/11/27,348.0
2020/11/28,193.0
2020/11/29,90.0
2020/11/30,386.0
2020/12/01,321.0
2020/12/02,267.0
2020/12/03,320.0
2020/12/04,334.0
2020/12/05,203.0
2020/12/06,66.0
2020/12/07,438.0
2020/12/08,330.0
2020/12/09,368.0
2020/12/10,434.0
2020/12/11,407.0
2020/12/12,261.0
2020/12/13,105.0
2020/12/14,600.0
2020/12/15,508.0
2020/12/16,520.0
2020/12/17,538.0
2020/12/18,562.0
2020/12/19,358.0
2020/12/20,162.0
2020/12/21,728.0
2020/12/22,655.0
2020/12/23,582.0
2020/12/24,495.0
2020/12/25,71.0
2020/12/26,416.0
2020/12/27,102.0
2020/12/28,733.0
2020/12/29,578.0
2020/12/30,513.0
2020/12/31,483.0
2021/01/01,76.0
2021/01/02,382.0
2021/01/03,176.0
2021/01/04,801.0
2021/01/05,664.0
2021/01/06,549.0
2021/01/07,581.0
2021/01/08,628.0
2021/01/09,444.0
2021/01/10,171.0
2021/01/11,820.0
2021/01/12,632.0
2021/01/13,674.0
2021/01/14,628.0
2021/01/15,615.0
2021/01/16,467.0
2021/01/17,166.0
2021/01/18,819.0
2021/01/19,603.0
2021/01/20,673.0
2021/01/21,680.0
2021/01/22,750.0
2021/01/23,417.0
2021/01/24,156.0
2021/01/25,788.0
2021/01/26,654.0
2021/01/27,731.0
2021/01/28,740.0
2021/01/29,740.0
2021/01/30,498.0
2021/01/31,229.0
2021/02/01,951.0
2021/02/02,759.0
2021/02/03,715.0
2021/02/04,662.0
2021/02/05,785.0
2021/02/06,411.0
2021/02/07,169.0
2021/02/08,954.0
2021/02/09,749.0
2021/02/10,821.0
2021/02/11,654.0
2021/02/12,773.0
2021/02/13,450.0
2021/02/14,206.0
2021/02/15,959.0
2021/02/16,840.0
2021/02/17,914.0
2021/02/18,926.0
2021/02/19,1024.0
2021/02/20,573.0
2021/02/21,234.0
2021/02/22,1239.0
2021/02/23,961.0
2021/02/24,873.0
2021/02/25,945.0
2021/02/26,902.0
2021/02/27,597.0
2021/02/28,231.0
2021/03/01,1231.0
2021/03/02,1012.0
2021/03/03,963.0
2021/03/04,971.0
2021/03/05,978.0
2021/03/06,667.0
2021/03/07,223.0
2021/03/08,1326.0
2021/03/09,1184.0
2021/03/10,1226.0
2021/03/11,1257.0
2021/03/12,1317.0
2021/03/13,868.0
2021/03/14,360.0
2021/03/15,1891.0
2021/03/16,1640.0
2021/03/17,1733.0
2021/03/18,1584.0
2021/03/19,1637.0
2021/03/20,1135.0
2021/03/21,532.0
2021/03/22,2356.0
2021/03/23,1891.0
2021/03/24,1846.0
2021/03/25,1686.0
2021/03/26,1829.0
2021/03/27,1240.0
2021/03/28,423.0
2021/03/29,2446.0
2021/03/30,1978.0
2021/03/31,1870.0
2021/04/01,1878.0
2021/04/02,1887.0
2021/04/03,1199.0
2021/04/04,382.0
2021/04/05,641.0
2021/04/06,2335.0
2021/04/07,1835.0
2021/04/08,1723.0
2021/04/09,1730.0
2021/04/10,1145.0
2021/04/11,418.0
2021/04/12,2067.0
2021/04/13,1560.0
2021/04/14,1527.0
2021/04/15,1456.0
2021/04/16,1557.0
2021/04/17,986.0
2021/04/18,400.0
2021/04/19,1783.0
2021/04/20,1376.0
2021/04/21,1409.0
2021/04/22,1262.0
2021/04/23,1208.0
2021/04/24,817.0
